,model,early_stop,unfairness_reg,lr,val_score,abs_score,over_score,under_score,non_parity_score,,test
over_score,gmf,3.5251175949523386e-06,0.32941065437037986,0.2608751706336858,0.003526780704657237,0.004610580106576284,0.00010708153247833252,5.020429690678914e-05,0.13366960495710373,0.02522000898917516,U
under_score,gmf,3.5251175949523386e-06,0.32941065437037986,0.2608751706336858,0.13147297099232674,0.13313780476649603,0.13672610114018122,0.1365865635871887,0.00040938337643941245,0.11285541951656342,U
non_parity_score,gmf,3.5251175949523386e-06,0.32941065437037986,0.2608751706336858,0.00022357702255249023,0.00018674135208129883,1.1920928955078125e-07,0.00010532140731811523,4.470348358154297e-06,7.662177085876465e-05,U
rmse,gmf,3.5251175949523386e-06,0.32941065437037986,0.2608751706336858,0.4353024959564209,0.44126594066619873,0.4251434803009033,0.4479895830154419,0.42053601145744324,0.40622109174728394,U
val_score,nmf,5.902338880022753e-06,0.6377036037208381,0.11259690305266662,0.06801104545593262,0.06840979307889938,0.0662856325507164,0.066800057888031,0.06385268270969391,0.0674956738948822,O
abs_score,nmf,5.902338880022753e-06,0.6377036037208381,0.11259690305266662,0.06801104545593262,0.050617896020412445,0.06524679064750671,0.06484200805425644,0.05994528904557228,0.0674956738948822,O
over_score,nmf,5.902338880022753e-06,0.6377036037208381,0.11259690305266662,0.0,0.02292623112599055,0.0005194182197252909,0.0009790239731470743,0.06119643956422806,0.06749566753705342,O
under_score,nmf,5.902338880022753e-06,0.6377036037208381,0.11259690305266662,0.06801105012496313,0.04548356076081594,0.06576621214548747,0.0658210356036822,0.0026562390724817913,0.0,O
non_parity_score,nmf,5.902338880022753e-06,0.6377036037208381,0.11259690305266662,3.21120023727417e-05,8.285045623779297e-05,3.507733345031738e-05,2.181529998779297e-05,0.00018996000289916992,8.785724639892578e-05,O
rmse,nmf,5.902338880022753e-06,0.6377036037208381,0.11259690305266662,0.753960907459259,0.3795592188835144,0.40000537037849426,0.38019832968711853,0.37861868739128113,0.623967707157135,O
val_score,nmf,9.240638334611659e-07,0.6920769525718871,0.013877600022628,0.163336843252182,0.16658495366573334,0.16802243888378143,0.1668834686279297,0.16315089166164398,0.16413581371307373,P
abs_score,nmf,9.240638334611659e-07,0.6920769525718871,0.013877600022628,0.163336843252182,0.16658495366573334,0.16802243888378143,0.1668834686279297,0.1337604969739914,0.08307652920484543,P
over_score,nmf,9.240638334611659e-07,0.6920769525718871,0.013877600022628,0.0,0.0,0.0,0.0,0.014695204794406891,0.040894747972488404,P
under_score,nmf,9.240638334611659e-07,0.6920769525718871,0.013877600022628,0.1633368330200513,0.16658496345082918,0.1680224347114563,0.1668834630648295,0.14845568428436914,0.1232410815358162,P
